# gpu        pid  type    sm   mem   enc   dec    fb   command
# Idx          #   C/G     %     %     %     %    MB   name
    0       7372     C     2     0     2     -   136   ffmpeg         
    0      12176     C     5     2     3     7   782   ffmpeg         
    0      20035     C     8     2     4     1  1145   ffmpeg         
    0      20141     C     2     1     1     3   429   ffmpeg         
    0      29591     C     2     1     -     2   435   ffmpeg         
    0       7372     C     2     0     -     -   136   ffmpeg         
    0      12176     C     8     3     7     9   782   ffmpeg         
    0      20035     C     8     2     3     1  1145   ffmpeg         
    0      20141     C     -     -     1     1   429   ffmpeg         
    0      29591     C     3     1     -     2   435   ffmpeg         
    0       7372     C     2     1     1     -   136   ffmpeg         
    0      12176     C     5     1     5     7   782   ffmpeg         
    0      20035     C     8     3     1     4  1145   ffmpeg         
    0      20141     C     2     0     1     -   429   ffmpeg         
    0      29591     C     2     0     1     3   435   ffmpeg         
    0       7372     C     2     0     -     -   136   ffmpeg         
    0      12176     C     5     1     5     3   782   ffmpeg         
    0      20035     C     8     2     5     4  1145   ffmpeg         
    0      20141     C     3     1     -     5   429   ffmpeg         
    0      29591     C     2     0     -     1   435   ffmpeg         
    0       7372     C     2     1     -     -   136   ffmpeg         
    0      12176     C    10     3     6     8   782   ffmpeg         
    0      20035     C     3     1     1     1  1145   ffmpeg         
    0      20141     C     -     -     4     1   429   ffmpeg         
    0      29591     C     5     2     -     2   435   ffmpeg         
    0       7372     C     5     1     2     -   136   ffmpeg         
    0      12176     C     6     2     4     7   782   ffmpeg         
    0      20035     C     -     -     -     -  1145   ffmpeg         
    0      20141     C     5     1     1     3   429   ffmpeg         
    0      29591     C     5     2     2     4   435   ffmpeg         
    0       7372     C     -     -     1     -   136   ffmpeg         
    0      12176     C     7     2     3     4   782   ffmpeg         
    0      20035     C     2     0     -     1  1145   ffmpeg         
    0      20141     C     7     2     4     4   429   ffmpeg         
    0      29591     C     5     1     2     3   435   ffmpeg         
    0       7372     C     2     0     1     -   136   ffmpeg         
    0      12176     C     9     3     3     6   782   ffmpeg         
    0      20035     C     2     1     -     1  1145   ffmpeg         
    0      20141     C     4     1     4     5   429   ffmpeg         
    0      29591     C     2     0     2     1   435   ffmpeg         
    0       7372     C     -     -     -     -   136   ffmpeg         
    0      12176     C    10     3     4     8   782   ffmpeg         
    0      20035     C     4     1     2     1  1145   ffmpeg         
    0      20141     C     7     2     3     3   429   ffmpeg         
# gpu        pid  type    sm   mem   enc   dec    fb   command
# Idx          #   C/G     %     %     %     %    MB   name
    0      29591     C     -     -     1     1   435   ffmpeg         
    0       7372     C     2     0     2     -   136   ffmpeg         
    0      12176     C     7     2     2     6   782   ffmpeg         
    0      20035     C     7     2     4     3  1145   ffmpeg         
    0      20141     C     5     1     1     3   429   ffmpeg         
    0      29591     C     -     -     1     1   435   ffmpeg
